OBJECTID,ORIGINL_RM,REPORT_NUM,REPORT_NAM,SCALE,DATE,MAPUNITNOM,MUNOM1,SOIL_CODE1,SOILNAME1,VARIANT1,PHASE1,CLASS1,EXTENT1,MUNOM2,SOIL_CODE2,SOILNAME2,VARIANT2,PHASE2,CLASS2,EXTENT2,MUNOM3,SOIL_CODE3,SOILNAME3,VARIANT3,PHASE3,CLASS3,EXTENT3,SLOPEP1,SLOPEP2,SLOPEP3,TOPO1,TOPO2,TOPO3,STONE1,STONE2,STONE3,EROSION1,EROSION2,EROSION3,SALINITY1,SALINITY2,SALINITY3,SLOPE_LEN1,SLOPE_LEN2,SLOPE_LEN3,LS_MEAN1,LS_MEAN2,LS_MEAN3,C_ERPOLY,C_AGRI,C_SLOPE,C_GEN,C_DRAIN,C_MAN,C_SALT,C_SOIL,C_SURFTEXT,ERCLS1,ERCLS2,ERCLS3,ERPOLY,ERSYMBOL,AGRI_CAP1,AGRI_CAP2,AGRI_CAP3,AGCAP_CLS1,AGCAP_CLS2,AGCAP_CLS3,AGCAP_GRP1,AGCAP_GRP2,AGCAP_GRP3,SOIL_FACT1,LANDSCAPE1,IRRIG_CLA1,GEN_RATIN1,SOIL_FACT2,LANDSCAPE2,IRRIG_CLA2,GEN_RATIN2,SOIL_FACT3,LANDSCAPE3,IRRIG_CLA3,GEN_RATIN3,SPUD_RTNG1,SPUD_RTNG2,SPUD_RTNG3,DRAINAGE1,DRAINAGE2,DRAINAGE3,SURFTEXT1,SURFTEXT2,SURFTEXT3,SURFTEXTM1,SURFTEXTM2,SURFTEXTM3,TEX_GROUP1,TEX_GROUP2,TEX_GROUP3,MANCON1,MANCON2,MANCON3,TOPSOIL1,TOPSOIL2,TOPSOIL3,SAND_GRAV1,SAND_GRAV2,SAND_GRAV3,ROADFILL1,ROADFILL2,ROADFILL3,BASMNT1,BASMNT2,BASMNT3,NO_BASMNT1,NO_BASMNT2,NO_BASMNT3,ROAD_ST1,ROAD_ST2,ROAD_ST3,TRENCHTYP1,TRENCHTYP2,TRENCHTYP3,AREA_TYPE1,AREA_TYPE2,AREA_TYPE3,COVER_MAT1,COVER_MAT2,COVER_MAT3,S_LAGOON1,S_LAGOON2,S_LAGOON3,SEP_FIELD1,SEP_FIELD2,SEP_FIELD3,PLAY_GRND1,PLAY_GRND2,PLAY_GRND3,PICNIC1,PICNIC2,PICNIC3,CAMP_AREA1,CAMP_AREA2,CAMP_AREA3,PATH1,PATH2,PATH3,SHAPE_Length,SHAPE_Area
10787,Killarney - Turtle Mountain,D90,Killarney - Turtle Mountain,"1:50,000",2022/11/24 00:00:00+00,WKD6-MOT4/xbxx-xbxx,WKD/xbxx,WKD,Waskada,,,xbxx,60,MOT/xbxx,MOT,Montgomery,,,xbxx,40,,,,,,,0,-99.0,-99.0,-99.0,b,b,,x,x,,x,x,,x,x,,,,,-99.0,-99.0,-99.0,-99.0,22,-99,22,23,-99,21,31,22,,,,,,2X,2W,,2,2,,Group 1,Group 1,,2kx,A,2kx A,Good,3w,A,3w A,Fair,,,,,4,4,,W,I,,L,L,,,,,ME,ME,,,,,G,Fb,,Va,Va,,Fa,Faw,,Fa,Pw,,Fa,Faw,,Fa,Faw,,Fs,Pw,,G,Fw,,G,G,,Fak,Fak,,Pk,Phk,,G,Fw,,G,Fw,,G,Fw,,G,Fw,,8011.05251566062,-2158818.97162776
110962,Reynolds,14,South Eastern,"1:126,720",2022/11/24 00:00:00+00,SP,OOK/xxxx,OOK,Orok,,,xxxx,40,CAY/xxxx,CAY,Cayer,,,xxxx,40,FYLp/xxxx,FYL,"Fyala, peaty",,p,xxxx,20,0.2,0.2,0.2,x,x,x,ORG,ORG,x,ORG,ORG,x,ORG,ORG,x,3,3,3,0.27313,0.27313,0.27313,21.0,28,21,25,27,45,21,68,26,N,N,N,N,N4-N4-N2,O4WL,O3W,6W,O4,O3,6,,,,0,A,0 A,ORG,0,A,0 A,ORG,4kw,A,4kw A,Poor,,,,VP,VP,VP,F,M,M,,,,Of,Om,Om,Organic,Organic,FW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24638.5440568585,4640990.9684844
62127,Langford,D95,Langford,"1:20,000",2022/11/24 00:00:00+00,SHX/xdxx,SHX/xdxx,SHX,Shilox,,,xdxx,100,,,,,,,0,,,,,,,0,-99.0,-99.0,-99.0,d,,,x,,,x,,,x,,,,,,-99.0,,,-99.0,26,-99,23,22,-99,21,26,24,,,,,,6M,,,6,,,Group 4,,,3m,Ct2,3m Ct2,Fair,,,,,,,,,4,,,R,,,FS,,,,,,CO,,,,,,Vb,,,Fa,,,G,,,G,,,G,,,G,,,Vks,,,Vk,,,Pq,,,Vkg,,,Gg,,,Pmt,,,Pm,,,Fs,,,Ps,,,4374.34818224167,607618.349607292
17113,St Clements,D14,Winnipeg Region,"1:20,000",2022/11/24 00:00:00+00,Pl,PMG/xxxx,PMG,Plum Ridge,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,23.0,22,21,22,25,20,21,30,23,M,N,N,M,M10,2M,,,2,,,Group 1,,,2w,A,2w A,Good,,,,,,,,,3,,,I,,,VFSL,,,,,,ME,,,No Constraints,,,Fb,,,Va,,,Faf,,,Pw,,,Faw,,,Faw,,,Pkw,,,Pk,,,G,,,Phk,,,Ph,,,Fw,,,Fw,,,Fw,,,Fw,,,4319.40863841363,426178.213002851
2283,Cameron,20,Boissevain-Melita,"1:40,000",2022/11/24 00:00:00+00,Be,BED/xxxx,BED,Bede,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,21.0,25,21,24,22,21,21,18,24,N,N,N,N,N10,5M,,,5,,,Group 3,,,4m,A,4m A,Poor,,,,,,,,,5,,,R,,,LS,,,,,,CO,,,C,,,Ps,,,G,,,G,,,G,,,G,,,G,,,Vks,,,Vkg,,,Vcs,,,Vck,,,Gg,,,Pq,,,Fms,,,Fs,,,G,,,3316.99769060195,330289.727028607
17045,Rockwood,D14,Winnipeg Region,"1:20,000",2022/11/24 00:00:00+00,Le,LWY/xxxx,LWY,Ledwyn,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,22.0,22,21,23,25,20,21,31,22,L,N,N,L,L10,2W,,,2,,,Group 1,,,3w,A,3w A,Fair,,,,,,,,,3,,,I,,,CL,,,,,,MF,,,No Constraints,,,Fs,,,Va,,,Faw,,,Pw,,,Faw,,,Faw,,,Pw,,,Fw,,,Fs,,,Fak,,,Phk,,,Fsw,,,Fsw,,,Fsw,,,Fsw,,,2309.5786712515,103259.486963342
26692,North Norfolk,D80,North Norfolk,"1:20,000",2022/11/24 00:00:00+00,LOP/xcxx,LOP/xcxx,LOP,Long Plain,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,1.0,,,0.45396,0.0,0.0,21.0,24,22,22,25,21,21,21,24,N,N,N,N,N10,4M,,,4,,,Group 2,,,2mw,Bt2,2mw Bt2,Good,,,,,,,,,3,,,I,,,LFS,,,,,,CO,,,C,,,Ps,,,Pa,,,Fw,,,Pw,,,Fw,,,Fw,,,Vks,,,Vk,,,Pq,,,Vk,,,Fhg,,,Ftw,,,Fsw,,,Fsw,,,Fw,,,1823.05308880519,116771.309643274
37099,South Norfolk,D74,South Norfolk,"1:20,000",2022/11/24 00:00:00+00,EGF,EGF/xxxx,EGF,Eigenhof,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,21.0,21,21,22,23,20,21,31,22,N,N,N,N,N10,1,,,1,,,Group 1,,,2k,A,2k A,Good,,,,,,,,,2,,,W,,,CL,,,,,,MF,,,No Constraints,,,Fs,,,Va,,,Fa,,,Fa,,,Fa,,,Fa,,,Fs,,,G,,,Fs,,,Fak,,,Pk,,,Fs,,,Fs,,,Fs,,,Fs,,,2620.41525677837,309523.50750614
95221,Rockwood,12,Fisher-Teulon,"1:100,000",2022/11/24 00:00:00+00,Ml,MEBp/xx2x,MEB,"Meleb, peaty",,p,xx2x,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,2,,,x,,,x,,,3.0,-,-,0.32788,0.0,0.0,21.0,26,21,24,27,31,21,62,26,N,N,N,N,N10,6W,,,6,,,,,,4w,A,4w A,Poor,,,,,,,,,,,,VP,,,M,,,,,,Om,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3122.18600583527,376589.306220899
77941,HILLSBURG,9,Grandview,"1:126,720",2022/11/24 00:00:00+00,"P adj. Ecl, Ly, Ons (50:2",VSTp/xxxx,VST,"Vista, peaty",,p,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3,-,-,0.32788,0.0,0.0,21.0,26,21,24,27,34,21,34,26,N,N,N,N,N10,6W,,,6,,,,,,4w,A,4w A,Poor,,,,,,,,,,,,VP,,,M,,,,,,Om,,,CW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.561154265988,625.532175218678
57019,Springfield,D88,Springfield,"1:20,000",2022/11/24 00:00:00+00,PLN5-SPG5,PLN/xxxx,PLN,Pelan,,,xxxx,50,SPG/xxxx,SPG,Sprague,,,xxxx,50,,,,,,,0,-99.0,-99.0,-99.0,x,x,,x,x,,x,x,,x,x,,,,,-99.0,-99.0,-99.0,-99.0,22,-99,23,25,-99,21,21,23,,,,,,2M,5W,,2,5,,Group 1,Group 3,,3wx,A,3wx A,Fair,4w,A,4w A,Poor,,,,,4,5.0,,I,P,,FSL,FSL,,,,,MC,MC,,,,,Ps,Fb,,Pax,Pah,,Fw,Pw,,Pw,Vw,,Fw,Pw,,Fw,Pw,,Pw,Vhw,,Fw,Phw,,Fs,Pw,,Pk,Phk,,Ph,Vh,,Fsw,Pw,,Fsw,Pw,,Fsw,Pw,,Fw,Pw,,6626.7076932931,701108.280448999
82980,Siglunes,16,Grahamdale,"1:126,720",2022/11/24 00:00:00+00,Pl/T,GHP/xx1x,GHP,Glenhope,,,xx1x,100,,,,,,,0,,,,,,,0,1.0,-9.0,-9.0,x,,,1,,,x,,,x,,,3,-,-,0.42868,0.0,0.0,22.0,22,21,23,25,20,21,30,23,L,N,N,L,L10,2W,,,2,,,,,,3w,A,3w A,Fair,,,,,,,,,,,,I,,,VFSL,,,,,,ME,,,No Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614.43329348868,348954.8648611
43573,Cameron,20,Boissevain-Melita,"1:20,000",2022/11/24 00:00:00+00,Cn:5-Sw:5,CMR/xxxx,CMR,Cameron,,,xxxx,50,SWZ/xxxx,SWZ,Switzer,,,xxxx,50,,,,,,,0,0.5,0.5,-9.0,x,x,,x,x,,x,x,,x,x,,2.0,2.0,,0.21164,0.21164,0.0,21.0,22,21,21,23,20,21,31,22,L,N,N,N,L5-N5,2X,2M,,2,2.0,,Group 1,Group 1,,1,A,1 A,Excellent,2w,A,2w A,Good,,,,,1,3.0,,W,I,,L,LFS,,,,,ME,CO,,No Constraints,No Constraints,,G,Fb,,Va,Va,,Fa,Fw,,Fa,Pw,,Fa,Fw,,Fa,Fw,,G,Pkw,,G,Pk,,G,G,,Fak,Pk,,Fk,Fh,,G,Fw,,G,Fw,,G,Fw,,G,Fw,,8320.10485302211,991040.829251138
24102,Portage la Prairie,17,Portage la Prairie,"1:20,000",2022/11/24 00:00:00+00,Ga,GDH/xxxx,GDH,Gnadenthal,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,22.0,21,21,22,25,20,21,31,22,L,N,N,L,L10,1,,,1,,,Group 1,,,2w,A,2w A,Good,,,,,,,,,3,,,I,,,SCL,,,,,,MF,,,No Constraints,,,G,,,Va,,,Faw,,,Pw,,,Faw,,,Faw,,,Pw,,,Fw,,,G,,,Fak,,,Ph,,,Fw,,,Fw,,,Fw,,,Fw,,,51778.4682948004,18302651.4324926
96638,CLANWILLIAM,8,West-Lake,"1:126,720",2022/11/24 00:00:00+00,W (m),SNT/xcxx,SNT,Sinnott,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,2.0,-,-,0.71777999,0.0,0.0,21.0,25,22,24,26,31,21,29,22,N,N,N,N,N10,5W,,,5,,,,,,4w,Bt2,4w Bt2,Poor,,,,,,,,,,,,P,,,CL,,,,,,MF,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.07709123172,174816.52945756
52336,Edward,20,Boissevain-Melita,"1:20,000",2022/11/24 00:00:00+00,Te,TRC/xxxx,TRC,Terence,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,2,,,0.21164,0.0,0.0,21.0,22,21,23,25,21,21,21,24,N,N,N,N,N10,2M,,,2,,,Group 1,,,3w,A,3w A,Fair,,,,,,,,,4,,,I,,,LS,,,,,,CO,,,C,,,Ps,,,Pax,,,Fw,,,Pw,,,Fw,,,Fw,,,Phw,,,Fw,,,Fs,,,Pk,,,Ph,,,Fsw,,,Fsw,,,Fsw,,,Fw,,,10557.2099843092,1197811.59086451
30483,North Cypress,D85,North Cypress,"1:20,000",2022/11/24 00:00:00+00,GRO,GRO/xxxx,GRO,Grover,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,-,-,0.32788,0.0,0.0,21.0,22,21,22,25,20,21,31,23,N,N,N,N,N10,2W,,,2,,,Group 1,,,2w,A,2w A,Good,,,,,,,,,3,,,I,,,VFSL,,,,,,ME,,,No Constraints,,,G,,,Pa,,,Faw,,,Pw,,,Faw,,,Faw,,,Vks,,,Fwg,,,Pq,,,Vkg,,,Fhg,,,Fw,,,Fw,,,Fw,,,Fw,,,2253.0635303051,80838.4127790007
39458,Whitewater,20,Boissevain-Melita,"1:20,000",2022/11/24 00:00:00+00,Tc,TWC/xxxx,TWC,Two Creeks,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,22.0,22,21,23,25,20,21,31,22,L,N,N,L,L10,2W,,,2,,,Group 1,,,3w,A,3w A,Fair,,,,,,,,,4,,,I,,,L,,,,,,ME,,,No Constraints,,,Fb,,,Va,,,Faw,,,Pw,,,Faw,,,Faw,,,Pw,,,Fw,,,G,,,Fak,,,Phk,,,Fw,,,Fw,,,Fw,,,Fw,,,4042.15156095535,409824.47496
97428,BIRTLE,6,Rossburn-Virden,"1:126,720",2022/11/24 00:00:00+00,Er,$ER/xixx,$ER,Eroded Slope Complex,,,xixx,100,,,,,,,0,,,,,,,0,85.0,-9.0,-9.0,i,,,$ER,,,3,,,x,,,2.0,-,-,120.72252,0.0,0.0,25.0,27,26,24,22,24,21,19,7,S,N,N,S,S10,7T,,,7,,,,,,4m,Dt2,4m Dt2,Poor,,,,,,,,,,,,R,,,$ER,,,,,,$ER,,,Eroded slopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3646.15871807585,342077.852794552
17212,Rockwood,D14,Winnipeg Region,"1:20,000",2022/11/24 00:00:00+00,We,WTDd/xxxx,WTD,"Wentland, drained",,d,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,21.0,23,21,24,26,31,21,37,23,N,N,N,N,N10,3W,,,3,,,Group 1,,,4w,A,4w A,Poor,,,,,,,,,5,,,P,,,VFSL,,,,,,ME,,,W,,,Fb,,,Va,,,Phw,,,Vw,,,Pw,,,Pw,,,Vhw,,,Pw,,,Pw,,,Vh,,,Vh,,,Pw,,,Pw,,,Pw,,,Pw,,,1428.23726301283,53051.0918416902
5902,Pembina,D77,Pembina,"1:50,000",2022/11/24 00:00:00+00,MXS/xbxx,MXS/xbxx,MXS,Manitou,,,xbxx,100,,,,,,,0,,,,,,,0,1.0,-9.0,-9.0,b,,,x,,,x,,,x,,,3.0,,,0.42868,0.0,0.0,23.0,22,21,22,23,20,21,28,22,M,N,N,M,M10,2X,,,2,,,Group 1,,,2kx,A,2kx A,Good,,,,,,,,,4,,,W,,,CL,,,,,,MF,,,No Constraints,,,Fs,,,Va,,,Fa,,,Fa,,,Fa,,,Fa,,,Fs,,,G,,,Fs,,,Fak,,,Pk,,,Fs,,,Fs,,,Fs,,,Fs,,,9837.40303001486,4772814.87178826
84871,BOULTON,9,Grandview,"1:126,720",2022/11/24 00:00:00+00,ZZ,$ZZ/xxxx,$ZZ,Water,,,xxxx,100,,,,,,,0,,,,,,,0,-9.0,-9.0,-9.0,$ZZ,,,$ZZ,,,$ZZ,,,$ZZ,,,,,,0.68329,0.0,0.0,6.0,6,6,6,6,6,6,6,6,,N,N,, 10,$ZZ,,,$ZZ,,,,,,$ZZ,$ZZ,$ZZ,$ZZ,,,,,,,,,,,,$ZZ,,,$ZZ,,,,,,$ZZ,,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.3135845728,71136.4472031598
52807,Rhineland,D76,Rhineland,"1:20,000",2022/11/24 00:00:00+00,RGD,RGD/xxxx,RGD,Rignold,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3,,,0.32788,0.0,0.0,22.0,21,21,23,25,20,21,31,22,L,N,N,L,L10,1,,,1,,,Group 1,,,3wx,A,3wx A,Fair,,,,,,,,,4,,,I,,,SCL,,,,,,MF,,,No Constraints,,,G,,,Va,,,Pa,,,Paw,,,Faw,,,Faw,,,Pw,,,Fw,,,G,,,G,,,Phk,,,Fw,,,Fw,,,Fw,,,Fw,,,4471.83528777435,420272.742766691
81202,Dauphin,9,Grandview,"1:126,720",2022/11/24 00:00:00+00,Ag,ASZ/xcxx,ASZ,Agassiz,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,2,-,-,0.71777999,0.0,0.0,21.0,25,22,24,22,21,21,18,24,N,N,N,N,N10,5M,,,5,,,,,,4m,Bt2,4m Bt2,Poor,,,,,,,,,,,,R,,,LS,,,,,,CO,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855.58503609092,373076.166825124
101810,LAC DU BONNET,15,Lac du Bonnet,"1:126,720",2022/11/24 00:00:00+00,Si,SIK/xc1x,SIK,Sirko,,,xc1x,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,1,,,x,,,x,,,2.0,-,-,0.71777999,0.0,0.0,21.0,24,22,24,25,21,21,18,24,N,N,N,N,N10,4M,,,4,,,,,,4m,Bt2,4m Bt2,Poor,,,,,,,,,,,,I,,,LS,,,,,,CO,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075.78365597564,271841.570967223
48325,Stanley,18,"Morden, Winkler","1:20,000",2022/11/24 00:00:00+00,Hb,HHF/xxxx,HHF,Hochfeld,,,xxxx,100,,,,,,,0,,,,,,,0,0.5,-9.0,-9.0,x,,,x,,,x,,,x,,,3.0,,,0.32788,0.0,0.0,23.0,23,21,21,23,20,21,30,23,M,N,N,M,M10,3M,,,3,,,Group 2,,,1,A,1 A,Excellent,,,,,,,,,1,,,W,,,FSL,,,,,,MC,,,No Constraints,,,G,,,Va,,,G,,,Fa,,,Fa,,,Fa,,,Pk,,,Pk,,,G,,,Pk,,,G,,,G,,,G,,,G,,,G,,,4010.00894602506,510511.58087231
90323,SILVER CREEK,6,Rossburn-Virden,"1:126,720",2022/11/24 00:00:00+00,Nc,NDL/xcxx,NDL,Newdale,,,xcxx,60,VRC/xbxs,VRC,Varcoe,,,xbxs,20,DRO/xxxx,DRO,Drokan,,,xxxx,20,3.5,1.0,0.5,c,b,x,x,x,x,x,x,x,x,s,x,2,2,2,0.71777999,0.27671,0.21164,23.0,22,22,22,23,20,22,28,22,M,L,N,M,M6-L2-N2,2T,3N,5W,2,3,5,,,,2kx,Bt2,2kx Bt2,Good,3sw,A,3sw A,Fair,4w,A,4w A,Poor,,,,W,I,P,CL,CL,CL,,,,MF,MF,MF,No Constraints,No Constraints,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4502.26906305681,803328.606857241
87552,COLDWELL,12,Fisher-Teulon,"1:100,000",2022/11/24 00:00:00+00,Is,ISF/xc3x,ISF,Isafold,,,xc3x,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,3,,,x,,,x,,,2,-,-,0.71777999,0.0,0.0,21.0,24,22,23,23,20,21,57,22,N,N,N,N,N10,4DP,,,4,,,,,,3d,Bt2p,3d Bt2p,Fair,,,,,,,,,,,,W,,,CL,,,,,,MF,,,No Constraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16799.9805166076,4166847.05931481
71846,MINITONAS,R18,Swan Lake,"1:125,000",2022/11/24 00:00:00+00,MWK,MWK/xcxx,MWK,Meadowbrook,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,4,-,-,1.57257,0.0,0.0,25.0,22,22,24,23,33,21,64,21,S,N,N,S,S10,2T,,,2,,,,,,4kx,Bt2,4kx Bt2,Poor,,,,,,,,,,,,W,,,C,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24536.1318992097,6919287.17278398
30043,Portage la Prairie,D20,West Portage - MacGregor,"1:20,000",2022/11/24 00:00:00+00,SKL/xcxx,SKL/xcxx,SKL,Skelding,,,xcxx,100,,,,,,,0,,,,,,,0,3.5,-9.0,-9.0,c,,,x,,,x,,,x,,,1.0,,,0.45396,0.0,0.0,21.0,26,22,23,22,21,21,26,24,N,N,N,N,N10,6M,,,6,,,Group 4,,,3m,Bt2,3m Bt2,Fair,,,,,,,,,4,,,R,,,FS,,,,,,CO,,,C,,,Vb,,,Fa,,,G,,,G,,,G,,,G,,,Vks,,,Vk,,,Pq,,,Vk,,,Gg,,,Pm,,,Pm,,,Fs,,,Ps,,,4584.65008008246,246033.978960777
115803,Riverdale,D98,Riverdale,"1:20,000",2022/11/24 00:00:00+00,FND/1dxx,FND/1dxx,FND,Fairland,,,1dxx,100,,,,,,,0,,,,,,,0,-99.0,,-99.0,d,,,x,,,1,,,x,,,,,,-99.0,-99.0,-99.0,-99.0,23,-99,23,23,-99,21,31,22,,,,,,3T,,,3,,,Group 1,,,1,Ct2,1 Ct2,Fair,,,,,,,,,4,,,W,,,L,,,,,,ME,,,,,,Fbt,,,Va,,,Fa,,,Fa,,,Fa,,,Fa,,,Gg,,,Gg,,,G,,,Ptg,,,Fk,,,Pt,,,G,,,G,,,G,,,3701.21866621229,-382170.478890594
76426,GRAHAMDALE,16,Grahamdale,"1:126,720",2022/11/24 00:00:00+00,In:8-Ml(P):2,IWO/xx3x,IWO,Inwood,,,xx3x,80,MEBp/xx3x,MEB,"Meleb, peaty",,p,xx3x,20,,,,,,,0,1.0,0.5,-9.0,x,x,,3,3,,x,x,,x,x,,3,3,-,0.42868,0.32788,0.0,21.0,24,21,23,25,20,21,56,22,N,N,N,N,N8-N2,4DP,6W,,4,6,,,,,3dw,Bp,3dw Bp,Fair,4w,Bp,4w Bp,Poor,,,,,,,,I,VP,,SCL,M,,,,,MF,Om,,No Constraints,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9608.33758962455,2662301.26705044
